"Country or Area","Year(s)","Value","Value Footnotes"
"Brazil","2010","8.5 [7.1-10]",""
"Brazil","2009","8.7 [7.2-10]",""
"Brazil","2008","8.1 [6.7-9.7]",""
"Brazil","2007","8.2 [6.8-9.8]",""
"Brazil","2006","8.2 [6.8-9.7]",""
"Brazil","2005","8 [6.7-9.4]",""
"Brazil","2004","8.1 [6.9-9.3]",""
"Brazil","2003","8 [6.6-9.6]",""
"Brazil","2002","7.7 [6.3-9.3]",""
"Brazil","2001","7.6 [6.2-9.1]",""
"Brazil","2000","6.9 [5.6-8.3]",""
"Brunei Darussalam","2012","0.43 [0-2.1]",""
"Brunei Darussalam","2011","0.85 [0.12-2.3]",""
"Brunei Darussalam","2010","0.29 [0-1.4]",""
"Brunei Darussalam","2009","0.58 [0.03-1.9]",""
"Brunei Darussalam","2005","0.63 [0.04-2]",""
"Brunei Darussalam","2004","0.31 [0-1.5]",""
"Bulgaria","2012","0.07 [0.06-0.08]",""
"Bulgaria","2011","0.08 [0.07-0.09]",""
"Bulgaria","2010","0.08 [0.07-0.09]",""
"Bulgaria","2009","0.08 [0.07-0.09]",""
"Bulgaria","2008","0.08 [0.07-0.1]",""
"Bulgaria","2007","0.08 [0.07-0.09]",""
"Bulgaria","2006","0.08 [0.07-0.09]",""
"Bulgaria","2005","0.07 [0.06-0.08]",""
"Bulgaria","2004","0.07 [0.06-0.08]",""
"Bulgaria","2003","0.06 [0.05-0.07]",""
"Bulgaria","2002","0.06 [0.05-0.07]",""
"Bulgaria","2001","0.05 [0.05-0.06]",""
"Bulgaria","2000","0.04 [0.04-0.05]",""
"Burkina Faso","2012","9.5 [8-11]",""
"Burkina Faso","2011","10 [8.9-12]",""
"Burkina Faso","2010","11 [9.7-13]",""
"Burkina Faso","2009","13 [11-15]",""
"Burkina Faso","2008","14 [12-16]",""
"Burkina Faso","2007","15 [13-17]",""
"Burkina Faso","2006","17 [14-20]",""
"Burkina Faso","2005","17 [15-20]",""
"Burkina Faso","2004","19 [16-22]",""
"Burkina Faso","2003","20 [17-24]",""
"Burkina Faso","2002","22 [18-25]",""
"Burkina Faso","2001","23 [19-27]",""
"Burkina Faso","2000","25 [21-29]",""
"Burundi","2012","25 [22-28]",""
"Burundi","2011","29 [26-33]",""
"Burundi","2010","33 [29-37]",""
"Burundi","2009","37 [32-41]",""
"Burundi","2008","42 [37-47]",""
"Burundi","2007","48 [42-54]",""
"Burundi","2006","54 [47-61]",""
"Burundi","2005","62 [55-70]",""
"Burundi","2004","71 [63-80]",""
"Burundi","2003","81 [71-91]",""
"Burundi","2002","89 [78-100]",""
"Burundi","2001","100 [88-113]",""
"Burundi","2000","110 [97-124]",""
"Cabo Verde","2012","14 [12-17]",""
"Cabo Verde","2011","14 [11-17]",""
"Cabo Verde","2010","14 [11-17]",""
"Cabo Verde","2009","15 [12-18]",""
"Cabo Verde","2008","15 [12-18]",""
"Cabo Verde","2007","15 [12-18]",""
"Cabo Verde","2006","15 [12-19]",""
"Cabo Verde","2005","15 [12-19]",""
"Cabo Verde","2004","15 [13-19]",""
"Cabo Verde","2003","16 [13-19]",""
"Cabo Verde","2002","16 [13-19]",""
"Cabo Verde","2001","16 [13-19]",""
"Cabo Verde","2000","16 [13-19]",""
"Cambodia","2012","18 [15-21]",""
"Cambodia","2011","21 [18-24]",""
"Cambodia","2010","22 [19-25]",""
"Cambodia","2009","23 [20-27]",""
"Cambodia","2008","26 [22-30]",""
"Cambodia","2007","29 [24-33]",""
"Cambodia","2006","35 [30-42]",""
"Cambodia","2005","43 [36-51]",""
"Cambodia","2004","50 [41-60]",""
"Cambodia","2003","56 [45-68]",""
"Cambodia","2002","61 [48-75]",""
"Cambodia","2001","64 [50-78]",""
"Cambodia","2000","65 [51-80]",""
"Cameroon","2012","88 [73-104]",""
