"Country or Area","Year(s)","Value","Value Footnotes"
"Cambodia","2002","15000 [5500-29000]",""
"Cambodia","2001","15000 [5700-30000]",""
"Cambodia","2000","16000 [5700-31000]",""
"Cameroon","2012","6400 [2700-12000]",""
"Cameroon","2011","6300 [2700-11000]",""
"Cameroon","2010","6600 [2800-12000]",""
"Cameroon","2009","6500 [2800-12000]",""
"Cameroon","2008","6500 [2800-12000]",""
"Cameroon","2007","6900 [2800-13000]",""
"Cameroon","2006","7100 [2900-13000]",""
"Cameroon","2005","7300 [3000-14000]",""
"Cameroon","2004","7500 [3000-14000]",""
"Cameroon","2003","7700 [3000-15000]",""
"Cameroon","2002","7900 [3100-15000]",""
"Cameroon","2001","8100 [3100-15000]",""
"Cameroon","2000","8100 [3100-16000]",""
"Canada","2012","67 [67-68]",""
"Canada","2011","71 [70-71]",""
"Canada","2010","74 [74-74]",""
"Canada","2009","61 [61-61]",""
"Canada","2008","91 [91-92]",""
"Canada","2007","92 [92-93]",""
"Canada","2006","90 [89-90]",""
"Canada","2005","86 [86-86]",""
"Canada","2004","70 [70-71]",""
"Canada","2003","93 [92-94]",""
"Canada","2002","100 [100-100]",""
"Canada","2001","110 [110-110]",""
"Canada","2000","82 [81-82]",""
"Central African Republic","2012","2200 [840-4300]",""
"Central African Republic","2011","2400 [980-4400]",""
"Central African Republic","2010","2600 [1000-4800]",""
"Central African Republic","2009","2800 [1100-5200]",""
"Central African Republic","2008","3000 [1200-5700]",""
"Central African Republic","2007","3300 [1300-6200]",""
"Central African Republic","2006","3600 [1400-6900]",""
"Central African Republic","2005","3900 [1500-7500]",""
"Central African Republic","2004","4300 [1600-8200]",""
"Central African Republic","2003","4600 [1700-8800]",""
"Central African Republic","2002","4800 [1800-9300]",""
"Central African Republic","2001","5000 [1800-9700]",""
"Central African Republic","2000","5200 [1900-10000]",""
"Chad","2012","2300 [980-4100]",""
"Chad","2011","2200 [960-3900]",""
"Chad","2010","2300 [1000-4100]",""
"Chad","2009","2400 [1000-4300]",""
"Chad","2008","2400 [1000-4400]",""
"Chad","2007","2400 [1000-4400]",""
"Chad","2006","2400 [970-4300]",""
"Chad","2005","2300 [940-4200]",""
"Chad","2004","2200 [910-4100]",""
"Chad","2003","2200 [890-4100]",""
"Chad","2002","2100 [870-3900]",""
"Chad","2001","2100 [830-3800]",""
"Chad","2000","2000 [800-3700]",""
"Chile","2012","210 [210-220]",""
"Chile","2011","220 [220-230]",""
"Chile","2010","230 [220-230]",""
"Chile","2009","240 [240-250]",""
"Chile","2008","230 [220-240]",""
"Chile","2007","260 [250-270]",""
"Chile","2006","280 [280-290]",""
"Chile","2005","240 [240-240]",""
"Chile","2004","280 [270-290]",""
"Chile","2003","310 [300-320]",""
"Chile","2002","330 [320-340]",""
"Chile","2001","340 [330-350]",""
"Chile","2000","300 [290-310]",""
"China","2012","44000 [43000-46000]",""
"China","2011","48000 [46000-50000]",""
"China","2010","52000 [50000-53000]",""
"China","2009","56000 [54000-57000]",""
"China","2008","60000 [58000-62000]",""
"China","2007","64000 [62000-66000]",""
"China","2006","69000 [67000-72000]",""
"China","2005","75000 [72000-77000]",""
"China","2004","80000 [78000-83000]",""
"China","2003","87000 [78000-96000]",""
"China","2002","94000 [79000-110000]",""
"China","2001","100000 [81000-130000]",""
"China","2000","110000 [84000-140000]",""
"Colombia","2012","770 [760-790]",""
"Colombia","2011","840 [830-850]",""
"Colombia","2010","900 [890-910]",""
"Colombia","2009","1000 [1000-1000]",""
"Colombia","2008","1100 [1100-1100]",""
"Colombia","2007","1100 [1100-1100]",""
"Colombia","2006","1000 [1000-1000]",""
"Colombia","2005","1000 [1000-1000]",""
"Colombia","2004","1300 [1200-1400]",""
"Colombia","2003","1300 [1300-1400]",""
"Colombia","2002","1300 [1300-1400]",""
"Colombia","2001","1400 [1300-1400]",""
"Colombia","2000","1300 [1200-1400]",""
"Comoros","2012","45 [19-84]",""
"Comoros","2011","46 [19-83]",""
"Comoros","2010","45 [19-82]",""
"Comoros","2009","45 [19-81]",""
"Comoros","2008","46 [19-83]",""
"Comoros","2007","46 [19-83]",""
"Comoros","2006","46 [19-84]",""
"Comoros","2005","45 [19-83]",""
"Comoros","2004","44 [19-81]",""
"Comoros","2003","44 [18-79]",""
"Comoros","2002","41 [18-75]",""
"Comoros","2001","38 [17-69]",""
"Comoros","2000","37 [16-65]",""
"Congo","2012","1800 [780-3400]",""
"Congo","2011","1800 [800-3300]",""
"Congo","2010","1800 [790-3300]",""
"Congo","2009","1800 [780-3200]",""
"Congo","2008","1700 [760-3100]",""
"Congo","2007","1700 [730-3100]",""
"Congo","2006","1700 [740-3100]",""
"Congo","2005","1700 [730-3000]",""
"Congo","2004","1600 [690-2900]",""
"Congo","2003","1500 [650-2700]",""
"Congo","2002","1400 [600-2500]",""
"Congo","2001","1200 [550-2200]",""
"Congo","2000","1100 [500-2000]",""
"Cook Islands","2012","0.12 [0.07-0.2]",""
"Cook Islands","2011","0.11 [0-0.38]",""
"Cook Islands","2010","0.08 [0.07-0.09]",""
"Cook Islands","2009","0.46 [0.2-0.83]",""
"Cook Islands","2008","0.46 [0.2-0.83]",""
"Cook Islands","2007","0.28 [0.13-0.47]",""
"Cook Islands","2006","0.1 [0.05-0.16]",""
"Cook Islands","2005","0.12 [0.07-0.19]",""
"Cook Islands","2004","0.13 [0.07-0.21]",""
"Cook Islands","2003","0.08 [0.07-0.09]",""
"Cook Islands","2002","0.09 [0.05-0.15]",""
"Cook Islands","2001","0.44 [0.19-0.78]",""
"Cook Islands","2000","0.09 [0.05-0.15]",""
"Costa Rica","2012","38 [34-43]",""
"Costa Rica","2011","40 [36-45]",""
"Costa Rica","2010","43 [38-47]",""
"Costa Rica","2009","46 [42-51]",""
"Costa Rica","2008","55 [50-60]",""
"Costa Rica","2007","36 [34-39]",""
"Costa Rica","2006","54 [52-55]",""
"Costa Rica","2005","60 [58-61]",""
"Costa Rica","2004","68 [66-70]",""
"Costa Rica","2003","69 [65-73]",""
"Costa Rica","2002","74 [70-78]",""
"Costa Rica","2001","78 [75-82]",""
"Costa Rica","2000","70 [67-72]",""
"Côte d’Ivoire","2012","4400 [1800-8000]",""
"Côte d’Ivoire","2011","4700 [2200-8300]",""
"Côte d’Ivoire","2010","4700 [2100-8200]",""
"Côte d’Ivoire","2009","5100 [2300-9000]",""
"Côte d’Ivoire","2008","5300 [2400-9300]",""
"Côte d’Ivoire","2007","5700 [2500-10000]",""
"Côte d’Ivoire","2006","6100 [2600-11000]",""
"Côte d’Ivoire","2005","6600 [2800-12000]",""
"Côte d’Ivoire","2004","7200 [3000-13000]",""
"Côte d’Ivoire","2003","7700 [3200-14000]",""
"Côte d’Ivoire","2002","8200 [3300-15000]",""
"Côte d’Ivoire","2001","8700 [3500-16000]",""
"Côte d’Ivoire","2000","9000 [3600-17000]",""
"Croatia","2012","61 [60-62]",""
"Croatia","2011","66 [66-67]",""
"Croatia","2010","82 [82-83]",""
"Croatia","2009","120 [120-120]",""
"Croatia","2008","100 [100-100]",""
"Croatia","2007","99 [99-100]",""
"Croatia","2006","140 [140-140]",""
"Croatia","2005","110 [110-110]",""
"Croatia","2004","160 [150-160]",""
"Croatia","2003","160 [160-160]",""
"Croatia","2002","180 [180-190]",""
"Croatia","2001","150 [150-150]",""
"Croatia","2000","190 [180-200]",""
"Cuba","2012","38 [38-38]",""
"Cuba","2011","38 [38-38]",""
"Cuba","2010","39 [39-40]",""
"Cuba","2009","26 [26-26]",""
"Cuba","2008","36 [35-36]",""
"Cuba","2007","25 [24-25]",""
"Cuba","2006","32 [32-32]",""
"Cuba","2005","33 [33-34]",""
"Cuba","2004","39 [38-40]",""
"Cuba","2003","41 [40-42]",""
"Cuba","2002","36 [35-37]",""
"Cuba","2001","33 [33-34]",""
"Cuba","2000","46 [45-47]",""
"Cyprus","2012","2.3 [1.8-2.8]",""
"Cyprus","2011","2.4 [2.2-2.6]",""
"Cyprus","2010","1.3 [1.1-1.4]",""
"Cyprus","2009","1.3 [1.1-1.4]",""
"Cyprus","2008","1.2 [1.1-1.4]",""
"Cyprus","2007","1.3 [1.1-1.4]",""
