Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cabo Verde,CPV,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,28196818.87,45479478.07,77123428.27,92617800.66,139362725.7,174391987.4,254525770.7,364462266.1,361467111.5,397876708.9,382190200.5,338617823.4,375841714.7,475334069.5,510930777.5,494495560.7,572736752.5,617362329.8,606430600.3,737990665.4,735084797.4,769650450.7,704635956.4
Costa Rica,CRI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1318296304,1330363591,1502388943,1840008318,1922625761,2313689169,3117011524,4115350419,3800532462,4066199745,4627252202,4755830028,6856696346,7330880579,7211431940,7833931555,7573806768,7149834514,7500924411,8937069411,7231533677,6921168831,8554013584
Caribbean small states,CSS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,162073506,183500000,216800000,,
Cyprus,CYP,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1868515473,2396061101,3181358209,3450932655,4113824037,4429824567,5942554137,6506542488,1004746547,1281245251,1141718898,1187122353,1191085646,916261841.4,893890213.6,807868870.8,812488586,887692448.7,924201541.5,1033463564,1237326347,1611044560,1723031774
Czechia,CZE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,13141569748,14463996053,23707071208,26955067824,28451131102,29553532656,31456871275,34907225299,37021634957,41608025692,42482660898,40283016691,44884691027,56217652211,54495067818,64490290734,85725304288,1.47976E+11,1.42512E+11,1.49856E+11,1.66126E+11,1.73618E+11,1.39981E+11
Germany,DEU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,87496869035,82131887554,89142540697,96835206408,97169968441,1.01676E+11,1.11637E+11,1.35932E+11,1.38564E+11,1.7904E+11,2.15978E+11,2.34104E+11,2.48856E+11,1.98535E+11,1.93485E+11,1.73731E+11,1.84031E+11,1.99983E+11,1.98027E+11,2.24028E+11,2.68409E+11,2.95736E+11,2.93914E+11
Djibouti,DJI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,67804571.83,70308696.57,73707750.59,100129582.5,93939056.7,89264770.32,120326699.2,132137437.9,175495410.9,241831914.4,248997896.3,244112095.2,248630000.3,424961509.9,393148391.7,364857284.1,407414266.7,556097628.9,454193909.7,501857934.4,686339280.9,588417559.8,589437241.8
Dominica,DMA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,29372786.74,31224517.74,45497423.66,47735245.63,42321834.56,49172196.73,63047100.26,60522068.62,55150083.36,75464032.69,76099741.29,81120934.27,94562315.38,87050886.03,101447737.7,126225919.3,221907763.5,212292574.6,191323608.3,155172395.3,165824163.3,190843317.1,204343039.9
Denmark,DNK,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,15695951233,17702199723,27719142484,37997724766,40020822397,34028012497,31083835098,34318338718,42326707927,76617709422,76510022326,84955222078,89697829678,88676584007,75391887669,65185093406,64215805620,75244445866,70942078374,66835547934,72823350927,82235844736,96072552269
Dominican Republic,DOM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,632133042.1,1104534583,474683747.7,279543949.8,826423251,1929853895,2275420935,3044764601,2694510025,3580178696,3874458747,4114429337,3558641726,4700626508,4861785572,5266043354,6134227407,6872905749,7717561574,8870942286,10844812012,13124643489,14522975012
Algeria,DZA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,13556106802,19625060613,25151012703,35454600266,45691652467,59167068864,81462730475,1.14972E+11,1.48099E+11,1.55112E+11,1.70461E+11,1.91369E+11,2.00587E+11,2.01437E+11,1.86351E+11,1.50595E+11,1.20788E+11,1.04853E+11,87382910154,71795950715,59434389110,56211005199,71852290094
East Asia & Pacific (excluding high income),EAP,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
