Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Europe & Central Asia (excluding high income),ECA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3.38895E+11,3.40684E+11,3.61306E+11,4.38632E+11,5.04897E+11,5.72728E+11,7.40166E+11,9.79606E+11,1.07034E+12,1.0766E+12,1.14971E+12,1.30996E+12,1.41699E+12,1.59054E+12,1.47562E+12,1.38482E+12,1.45008E+12,1.50012E+12,1.44811E+12,1.46782E+12,1.48142E+12,1.50858E+12,
Europe & Central Asia,ECS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,17174293325,17805836810,19577250175,19967129789,20622972718,20423092328,20385516556,21108482826,19022237671,13366010558,15377007844,16167801266,16249091446,19080458389,24971316037,28392958561,35382005444,41157198886,44959615841,51895511769,56332061419,58259441213,
"Egypt, Arab Rep.",EGY,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,29232716501,28331673242,29671747582,30467606765,31403286339,30575696632,31025131833,34594605134,33911646197,35397684322,36775092025,35175105538,40027463600,46501663517,41741489490,49846045120,69163941957,84540350200,99355940390,1.14484E+11,1.29792E+11,1.43246E+11,
Euro area,EMU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,329696750.6,432797640.1,540750572.1,656094138.2,760244436.6,757208868.8,822735305.2,896724741.4,997784245.2,1050653956,1037276234,1050966567,990917322.4,943357437,906782925.5,873287801.3,797254598.7,820766657.9,791199901.6,771710773.6,788537429.3,744742727.5,
Spain,ESP,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5516263792,5745843979,6552441033,7281813432,6568177207,6175805430,2220991209,2591387173,2846424291,5360207434,7286199659,8606311905,10463906050,12584251066,16944825499,20443253424,23396100284,26169980395,27841902864,28376713498,30363325104,30017495807,
European Union,EUU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,194527935.4,181389690.1,211378367.3,258131310.3,263742090.4,302666509.7,373224464.8,397932776.2,689116436.7,1067927269,1107442022,1355509518,1270343604,1284885540,1291245045,1232759435,1297960843,1267715374,1245969658,1344386627,1518596489,2028405201,
France,FRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3930290529,3447234061,3517028369,3806803406,4125262157,3996271846,4381593460,5145189248,2500884813,2725272931,2928709658,3196111718,3253508759,4834619464,4657695159,5119456819,5336059264,6499313033,6811278683,7198927676,7615875628,7722008180,
United Kingdom,GBR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1825515849,1909485070,2034422947,2148630818,2316620171,2151260501,2573385096,2986949884,7721515062,8672797230,8790390910,10817606103,12624705945,13603272111,14157391180,14874617981,16320114022,16423919315,17326169250,18756970084,20088955015,22053309339,
Ghana,GHA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6743341663,6860995877,7640294825,8301000838,7239727089,7334787205,3699920203,4298139557,4718475856,6610060990,8365239757,10411713580,11992642180,16115216917,17838883641,20079743604,21323164659,22519494698,23575181469,27081567334,31871093085,36181556008,
Gibraltar,GIB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3074719049,2912060904,3164480511,3174936865,3215975091,3082308084,3158729938,3305381166,3198361393,3232022942,3245354176,3209403952,1341955983,1681618744,1844271889,2042183634,2222977723,2394264523,2594809528,3005347345,4160989158,4701965298,
"Gambia, The",GMB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,490135711.9,494508599.3,583775769.6,643381438.2,679691270.3,661743789.7,709322151.4,690822190.6,391072717.5,530648677.2,543241408.2,514877996.1,560750284.7,575616791.7,552083637.1,578743120.1,561305280.8,694915486.2,723438399.6,801622572.4,919067255.6,1073620444,
Guinea-Bissau,GNB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,951834343.1,906107735.5,980940699.6,1068441068,1117785117,1025672668,1050373768,1095302823,1103242943,1132235762,1096724106,279738302.5,278019713.3,291728572.1,329671136.1,395912667.5,387481331.9,499706152.9,593709490.4,691718835.3,916778444.7,1111952782,
Equatorial Guinea,GNQ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,199420878.4,235652510.6,372086143.1,369076336.6,429599096.4,362225849.5,452574948.4,487671808.2,538874448.7,556610998.4,560589966.8,532309611.8,589250059.8,586831002.2,637672103.3,601161099.1,622125784.3,561492097.2,554451757.1,525463057.5,658538747.6,725553605.6,
Greenland,GRL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3948027446,4381821175,4527094224,5157578026,8094354234,9506426234,10946171835,12678187392,13823078748,14824423718,15043073564,16281345424,15367094882,17484024751,19511836132,20378217942,21129829604,23264893724,24274929981,25034633139,24813115712,26964587120,
Guam,GUM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1374473167,1327603202,1390166088,1454158542,1368422040,1238833545,1163165912,848663074.1,990493994.7,1427924570,1408397852,2006674225,1974205213,2302019509,2341948616,1636917068,1643860201,1582078488,1607000664,1530459138,1506687263,1889705076,
High income,HIC,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5616776613,5159558393,5491495664,5656942755,6205542461,5170226184,3987694942,3010680924,3517193356,3835948443,4008010904,4419294950,5086106376,6867621044,7369414616,7626993494,7614296900,8741578894,9167106738,9744777220,11025513770,11850075703,
Heavily indebted poor countries (HIPC),HPC,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1203393476,1285544239,1280698139,1364909987,1284484872,1333931158,1416972000,1601590631,1964488511,1448420668,959066834.3,775845587.7,1163440320,1569393746,1951930400,2096138364,2167818423,2169815133,2219747747,2213887989,2317694494,2604095585,
Hungary,HUN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
IBRD only,IBD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.44049E+11,1.3271E+11,1.28444E+11,1.34373E+11,1.38042E+11,1.42132E+11,1.3597E+11,1.47827E+11,1.57916E+11,1.79405E+11,1.98278E+11,2.19629E+11,2.52623E+11,2.63644E+11,2.92565E+11,3.07749E+11,3.18942E+11,3.53564E+11,3.79589E+11,4.02106E+11,4.17046E+11,4.16471E+11,
IDA only,IDX,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.91551E+11,1.84222E+11,1.946E+11,2.05836E+11,2.11187E+11,1.87489E+11,1.61173E+11,1.75884E+11,1.87513E+11,2.10701E+11,2.15607E+11,2.32528E+11,2.55355E+11,2.94338E+11,3.23863E+11,3.50274E+11,3.72118E+11,4.21556E+11,4.51807E+11,4.87465E+11,5.45585E+11,6.0107E+11,
Isle of Man,IMN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.01131E+11,99500093586,1.05742E+11,1.18885E+11,1.23644E+11,1.21195E+11,1.59526E+11,2.04058E+11,2.27112E+11,2.56312E+11,2.90428E+11,3.34399E+11,3.92576E+11,4.27245E+11,4.57507E+11,4.78826E+11,4.55502E+11,5.11473E+11,5.2103E+11,5.60871E+11,5.65053E+11,6.12866E+11,
