Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ecuador,ECU,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,82570000,88610000,113560000,142080000,145220000,153910000,143810000,94780000,122220000,114380000,80490000,70270000,76870000,67460000,70400000,57820000,53960000,56250000,57330000,77660000,63530000,
"Egypt, Arab Rep.",EGY,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,471620000,731960000,781280000,555790000,197250000,385660000,419750000,119870000,156660000,204150000,180970000,183120000,193930000,164600000,187380000,165570000,156320000,186790000,224700000,216870000,230440000,
Euro area,EMU,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,22110000,31560000,31980000,41090000,30840000,24180000,16240000,10500000,9590000,7480000,7130000,6390000,5160000,5700000,5590000,6440000,13030000,8330000,5070000,9040000,4150000,
Spain,ESP,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,11850000,9680000,9120000,11300000,15260000,,,,,,,,,,,,,,,,,
Ethiopia,ETH,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,120320000,128780000,166070000,166180000,172710000,195640000,259360000,130050000,158000000,169600000,176320000,193200000,203610000,213010000,200150000,178520000,220180000,244650000,206250000,291460000,188340000,
European Union,EUU,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,21910000,22330000,22740000,27420000,28890000,29250000,34590000,30200000,26720000,25180000,39090000,37990000,56180000,45800000,44240000,33890000,50620000,36820000,46390000,46760000,45200000,
France,FRA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,6580000,6400000,7630000,8160000,6490000,6920000,7430000,5230000,4860000,5430000,5690000,5470000,9080000,6240000,5720000,5190000,5030000,6390000,5210000,4710000,5400000,
