Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cabo Verde,CPV,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2396.166134,129745.319,560779.899,74107.58244,0,0,0,672.6500436,0,0,0,0,697.3770873,0,0,0,26889.49194,41901.87787,47363.9568,41937.9183,39827.18165,36932.29861
Costa Rica,CRI,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,0,0,0,0,0,0,0,0,0,0,0,0,670.5736267,196.4221227,0,435590.958,5370940.357,5639487.375,5937403.743,6254924.901,6567671.146,6896054.704
Caribbean small states,CSS,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,33975925.93,41800000,57030000,45056296.3,45729392.61,49776701.19,56406028.03,55948101.81,63127581.68,56424232.1,56314145.38,66623110.56,63319846.14,44619478.88,35796432.04,28391563.62,24444637.63,21719188.76,6994985.905,11726792.41,5880583.235,6048731.311
Cuba,CUB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,4005586.592,5569832.402,5195530.726,7603351.955,9519553.073,4810055.866,5094972.067,4405582.927,5306719.156,4269322.179,9353019.503
Cayman Islands,CYM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,8294113.296,9293717.294,15524664.15,11226635.76,19116493.77,
Cyprus,CYP,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,16066602.71,26240952.66,42720700.03,15008149.77,17660983.54,15104740.49,15965459.79,21076128.58,356998.4604,,,,173942.0651,,,,,186240441.5,,488125661.5,600364323.3,662751886.6
Czechia,CZE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,44285427.67,36485866.37,45280976.36,50304239.57,37581677.66,39802928.37,31717540.8,35915035.26,144904843.6,177970514.7,249267461.6,284733070.5,352174748.5,388825157.6,493180815.3,465248147.5,445442311.1,421049854.5,498219527.1,688041585.6,692709322.9,810034632.4
Germany,DEU,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2535822065,2742329707,3324060970,3579689300,4466712873,5743253424,5161751714,6307875662,7335720009,7212871240,8276542348,10723917539,10295613426,18028602139,23486335059,24082893580,28726730974,31302945582,36595706878,37150941482,36882654523,58520306138
Djibouti,DJI,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,25925.92593,0,0,0,0,0,0,0,0,0,10948.14815,0,0,0,0,0,94.81481481,71.11111111,71.11111111,71.11111111,71.11111111,84.3659107
Denmark,DNK,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,1262022630,1583757819,1731557200,2369450702,2607872589,2030589543,2467921752,2264341595,2314926350,2497261263,2088570347,2429038179,3202244987,3797467557,4058729555,5148880025,4460819696
Dominican Republic,DOM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,0,2000000,1460420.138,2928308.68,1916053.514,2811908.234,1713651.676,2844580.771,760560.8746,395792.5543,2222340.268,474785.1679,138472.7357,203168.6363,177930.3514,1225996.329,157711.3649
East Asia & Pacific (excluding high income),EAP,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,117424828,141994064,157294737.5,140411826.6,524803681.8,470530100.7,297291997,470305128,913943056.5,800046532.1,1031917515,1036891071,1355995682,1117987845,910849031,1346945666,1418518697,5266061336,6105210236,7143311166,9151321936,12468114922
Early-demographic dividend,EAR,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,792731363,635822783.7,573224973.6,681860821.6,1020065395,1322952004,1184816820,1351256371,1429053573,1247850860,1380995241,1854006850,1850576120,2056758418,2583606175,2177678752,2417473898,2850663848,3099592607,3407333652,3717963943,3949969622
East Asia & Pacific,EAS,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,11661418009,12217133832,12281693861,14864693344,19444784730,21727246707,24226325870,27629998113,31593100172,28543246483,34468916953,38806274278,41641819578,42193404952,49495923640,54823595146,56516331421,64529599558,70672072069,73181534156,70451216625,82754478230
Europe & Central Asia (excluding high income),ECA,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,108431123.6,78207402.51,166508609.6,210413447.4,305571287.3,303994039.1,347164937.9,467274281.5,587249164.8,630169656.2,634322455.8,810831188,911275745.5,1162348683,1034279280,1043265669,865908398,1096163591,1407784543,1628232716,1866601606,2302788412
